Common Name,Scientific Name,Occurrence,Classification,Federal,State,Source,Family
tufted hairgrass,Deschampsia cespitosa,,native,,,USFWS / EcoData Plant_List.pdf,Poaceae
saltgrass,Distichlis spicata,,native,,,USFWS / EcoData Plant_List.pdf,Poaceae
tall wheatgrass,Elytrigia spp.,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
blue wildrye,Elymus glaucus,,native,,,USFWS / EcoData Plant_List.pdf,Poaceae
tall fescue,Festuca arundinacea,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
Idaho fescue,Festuca idahoensis,,native,,,USFWS / EcoData Plant_List.pdf,Poaceae
red fescue,Festuca rubra,,native,,,USFWS / EcoData Plant_List.pdf,Poaceae
meadow barley,Hordeum brachyantherum,,native,,,USFWS / EcoData Plant_List.pdf,Poaceae
low barley,Hordeum depressum,,native,,,USFWS / EcoData Plant_List.pdf,Poaceae
Mediterranean barley,Hordeum marinum ssp. gussoneanum,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
mouse barley,Hordeum murinum ssp. leporinum,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
june grass,Koeleria macrantha,,native,,,USFWS / EcoData Plant_List.pdf,Poaceae
annual junegrass,Koeleria phleoides,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
creeping wild rye,Leymus triticoides,,native,,,USFWS / EcoData Plant_List.pdf,Poaceae
Italian ryegrass,Lolium multiflorum,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
perennial rye grass,Lolium perenne,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
purple needlegrass,Nassella pulchra,,native,,,USFWS / EcoData Plant_List.pdf,Poaceae
sickle grass,Parapholis incurva,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
kikuyugrass,Pennisetum clandestinum,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
crimson fountaingrass,Pennisetum setaceum,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
harding grass,Phalaris aquatica,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
common reed,Phragmites australis,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
smilo grass,Piptatherum miliaceum,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
semaphore grass,Pleuropogon californicus,,native,,,USFWS / EcoData Plant_List.pdf,Poaceae
snnual bluegrass,Poa annua,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
Kentucky bluegrass,Poa pratensis,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
one-sided bluegrass,Poa secunda ssp. secunda,,native,,,USFWS / EcoData Plant_List.pdf,Poaceae
rabbitfoot grass,Polypogon monspeliensis,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
seaside alkaligrass,Puccinellia maritima,,non-native,,,USFWS / EcoData Plant_List.pdf,Poaceae
