Common Name,Scientific Name,Occurrence,Classification,Federal,State,Source,Abundance Codes,Nests Locally
Black Phoebe,Sayornis nigricans,nests locally,native,,,USFWS ServCat bird checklist 2008,u u u u,yes
Least Tern,,uncommon,,,,USFWS ServCat bird checklist 2008,u u r,
Say's Phoebe,Sayornis saya,occasional,native,,,USFWS ServCat bird checklist 2008,r o o,
Black Tern,Chlidonias niger,rare,native,,,USFWS ServCat bird checklist 2008,r r,
Ash-throated Flycatcher,Myiarchus cinerascens,rare,native,,,USFWS ServCat bird checklist 2008,r,
Black Skimmer,Rynchops niger,nests locally,native,,SSC,USFWS ServCat bird checklist 2008,u u u u,yes
Western Kingbird,Tyrannus verticalis,occasional,native,,,USFWS ServCat bird checklist 2008,o r r,
Common Murre,Uria aalge,occasional,native,,,USFWS ServCat bird checklist 2008,o o r,
Loggerhead Shrike,Lanius ludovicianus,nests locally,native,,SSC,USFWS ServCat bird checklist 2008,u u u u,yes
Rock Dove,Columba livia,uncommon,non-native,,,USFWS ServCat bird checklist 2008,u u u u,
Warbling Vireo,Vireo gilvus,occasional,native,,,USFWS ServCat bird checklist 2008,o o,
Mourning Dove,Zenaida macroura,nests locally,native,,,USFWS ServCat bird checklist 2008,c c c c,yes
Western Scrub-Jay,Aphelocoma californica,nests locally,native,,,USFWS ServCat bird checklist 2008,u u u u,yes
Barn Owl,Tyto alba,nests locally,native,,,USFWS ServCat bird checklist 2008,u u u u,yes
American Crow,Corvus brachyrhynchos,uncommon,native,,,USFWS ServCat bird checklist 2008,u u u u,
Common Raven,Corvus corax,nests locally,native,,,USFWS ServCat bird checklist 2008,c c c c,yes
Great Horned Owl,Bubo virginianus,occasional,native,,,USFWS ServCat bird checklist 2008,o o o o,
Burrowing Owl,Athene cunicularia,nests locally,native,,SSC,USFWS ServCat bird checklist 2008,u u u u,yes
Horned Lark,Eremophila alpestris,nests locally,native,,,USFWS ServCat bird checklist 2008,o o o o,yes
Short-eared Owl,Asio flammeus,nests locally,native,,SSC,USFWS ServCat bird checklist 2008,r r r o,yes
Purple Martin,Progne subis,rare,native,,,USFWS ServCat bird checklist 2008,r,
Vaux's Swift,Chaetura vauxi,uncommon,native,,SSC,USFWS ServCat bird checklist 2008,o u,
Tree Swallow,Tachycineta bicolor,nests locally,native,,,USFWS ServCat bird checklist 2008,u u u o,yes
White-throated Swift,Aeronautes saxatalis,uncommon,native,,,USFWS ServCat bird checklist 2008,o o u o,
Violet-green Swallow,Tachycineta thalassina,common,native,,,USFWS ServCat bird checklist 2008,u c o,
Northern Rough-winged Swallow,Stelgidopteryx serripennis,uncommon,native,,,USFWS ServCat bird checklist 2008,u o u,
Bank Swallow,Riparia riparia,rare,native,,T,USFWS ServCat bird checklist 2008,r r r,
Anna's Hummingbird,Calypte anna,nests locally,native,,,USFWS ServCat bird checklist 2008,c c c c,yes
Cliff Swallow,Petrochelidon pyrrhonota,nests locally,native,,,USFWS ServCat bird checklist 2008,a a u,yes
Rufous Hummingbird,Selasphorus rufus,rare,native,,,USFWS ServCat bird checklist 2008,r r,
Barn Swallow,Hirundo rustica,nests locally,native,,,USFWS ServCat bird checklist 2008,c c c r,yes
Allen's Hummingbird,Selasphorus sasin,rare,native,,,USFWS ServCat bird checklist 2008,r,
Chestnut-backed Chickadee,Poecile rufescens,occasional,native,,,USFWS ServCat bird checklist 2008,o o o o,
Belted Kingfisher,Ceryle alcyon,occasional,native,,,USFWS ServCat bird checklist 2008,o o o o,
Bushtit,Psaltriparus minimus,nests locally,native,,,USFWS ServCat bird checklist 2008,c c c c,yes
Red-breasted Sapsucker,Sphyrapicus ruber,rare,native,,,USFWS ServCat bird checklist 2008,r,
Nuttall's Woodpecker,Picoides nuttallii,occasional,native,,,USFWS ServCat bird checklist 2008,o o o o,
Downy Woodpecker,Picoides pubescens,occasional,native,,,USFWS ServCat bird checklist 2008,o o o,
Rock Wren,Salpinctes obsoletus,rare,native,,,USFWS ServCat bird checklist 2008,r r r r,
Northern Flicker,Colaptes auratus,occasional,native,,,USFWS ServCat bird checklist 2008,o o o,
Bewick's Wren,Thryomanes bewickii,nests locally,native,,,USFWS ServCat bird checklist 2008,u u u u,yes
House Wren,Troglodytes aedon,occasional,native,,,USFWS ServCat bird checklist 2008,r o r,
Marsh Wren,Cistothorus palustris,nests locally,native,,,USFWS ServCat bird checklist 2008,c c c c,yes
Nelson's Sharp-tailed Sparrow,Ammodramus nelsoni,rare,native,,,USFWS ServCat bird checklist 2008,r r,
Golden-crowned Kinglet,Regulus satrapa,occasional,native,,,USFWS ServCat bird checklist 2008,r o r,
Fox Sparrow,Passerella iliaca,common,native,,,USFWS ServCat bird checklist 2008,u c u,
Ruby-crowned Kinglet,Regulus calendula,uncommon,native,,,USFWS ServCat bird checklist 2008,u u u,
Song Sparrow,Melospiza melodia,nests locally,,,,USFWS ServCat bird checklist 2008,a a a a,yes
Lincoln's Sparrow,Melospiza lincolnii,uncommon,native,,,USFWS ServCat bird checklist 2008,u u u,
Swamp Sparrow,Melospiza georgiana,rare,native,,,USFWS ServCat bird checklist 2008,r r,
Blue-gray Gnatcatcher,Polioptila caerulea,rare,native,,,USFWS ServCat bird checklist 2008,r r,
White-throated Sparrow,Zonotrichia leucophrys,rare,native,,,USFWS ServCat bird checklist 2008,r r r,
White-crowned Sparrow,Zonotrichia atricapilla,common,native,,,USFWS ServCat bird checklist 2008,c c c,
Golden-crowned Sparrow,Zonotrichia atricapilla,common,native,,,USFWS ServCat bird checklist 2008,c c c,
Swainson's Thrush,Catharus ustulatus,occasional,native,,,USFWS ServCat bird checklist 2008,o r,
Dark-eyed Junco,Junco hyemalis,occasional,native,,,USFWS ServCat bird checklist 2008,o o,
Hermit Thrush,Catharus guttatus,uncommon,native,,,USFWS ServCat bird checklist 2008,u u u,
American Robin,Turdus migratorius,uncommon,native,,,USFWS ServCat bird checklist 2008,o o o u,
Varied Thrush,Ixoreus naevius,rare,native,,,USFWS ServCat bird checklist 2008,r r,
Black-headed Grosbeak,Pheucticus melanocephalus,uncommon,native,,,USFWS ServCat bird checklist 2008,u u,
Lazuli Bunting,Passerina amoena,rare,native,,,USFWS ServCat bird checklist 2008,r r r,
Northern Mockingbird,Mimus polyglottos,nests locally,native,,,USFWS ServCat bird checklist 2008,c c c c,yes
Sage Thrasher,Oreoscoptes montanus,rare,native,,,USFWS ServCat bird checklist 2008,r r,
Red-winged Blackbird,Agelaius phoeniceus,nests locally,native,,,USFWS ServCat bird checklist 2008,c c c c,yes
Tricolored Blackbird,Agelaius tricolor,uncommon,native,,SSC,USFWS ServCat bird checklist 2008,o u o,
Western Meadowlark,Sturnella neglecta,nests locally,native,,,USFWS ServCat bird checklist 2008,u u c c,yes
European Starling,Sturnus vulgaris,nests locally,non-native,,,USFWS ServCat bird checklist 2008,c c c c,yes
Brewer's Blackbird,Euphagus cyanocephalus,uncommon,native,,,USFWS ServCat bird checklist 2008,u u u u,
Brown-headed Cowbird,Molothrus ater,uncommon,native,,,USFWS ServCat bird checklist 2008,u u u o,
American Pipit,Anthus rubescens,common,native,,,USFWS ServCat bird checklist 2008,c c c,
Hooded Oriole,Icterus cucullatus,occasional,native,,,USFWS ServCat bird checklist 2008,o o,
Bullock's Oriole,Icterus bullockii,nests locally,native,,,USFWS ServCat bird checklist 2008,o o r,yes
Cedar Waxwing,Bombycilla cedrorum,uncommon,native,,,USFWS ServCat bird checklist 2008,o o u,
House Finch,Carpodacus mexicanus,nests locally,native,,,USFWS ServCat bird checklist 2008,a a a a,yes
Lesser Goldfinch,Carduelis psaltria,uncommon,native,,,USFWS ServCat bird checklist 2008,u u u u,
Orange-crowned Warbler,Vermivora celata,uncommon,native,,,USFWS ServCat bird checklist 2008,o u r,
American Goldfinch,Carduelis tristis,nests locally,native,,,USFWS ServCat bird checklist 2008,u u u u,yes
Nashville Warbler,Vermivora ruficapilla,rare,native,,,USFWS ServCat bird checklist 2008,r r,
Yellow Warbler,Dendroica petechia,uncommon,native,,SSC,USFWS ServCat bird checklist 2008,o u r,
Yellow-rumped Warbler,Dendroica coronata,common,native,,,USFWS ServCat bird checklist 2008,c c c,
